"Implicit","To say or write something that suggests and implies but never says it directly or clearly."
"In media res","Latin for "in the midst of things," i.e. beginning an epic poem in the middle of the action."
"Interior Monologue","Refers to writing that records the mental talking that goes on inside a character's head; tends to be coherent."
"Inversion","Switching the customary order of elements in a sentence or phrase."
"Irony","A statement that means the opposite of what it seems to mean; uses an undertow of meaning, sliding against the literal a la Jane Austen."
"Lament","A poem of sadness or grief over the death of a loved one or over some other intense loss."
"Lampoon","A satire."
"Loose sentence","A sentence that is complete before its end: Jack loved Barbara despite her irritating snorting laugh."
"Periodic Sentence","A sentence that is not grammatically complete until it has reached it s final phrase: Despite Barbara's irritation at Jack, she loved him."
"Lyric","A type of poetry that explores the poet's personal interpretation of and feelings about the world."
"Masculine rhyme","A rhyme ending on the final stressed syllable (regular old rhyme)"
"Meaning","What makes sense, what's important."
"Melodrama","A form of cheesy theater in which the hero is very, very good, the villain mean and rotten, and the heroine oh-so-pure."
"Metaphor","A comparison or analogy that states one thing IS another."
"Simile","A comparison or analogy that typically uses like or as."
"Metonymy","A word that is used to stand for something else that it has attributes of or is associated with."
"Nemesis","The protagonist's arch enemy or supreme and persistent difficulty."
"Objectivity","Treatment of subject matter in an impersonal manner or from an outside view."
"Subjectivity","A treatment of subject matter that uses the interior or personal view of a single observer and is typically colored with that observer's emotional responses."
"Onomatopoeia","Words that sound like what they mean"
"Opposition","A pairing of images whereby each becomes more striking and informative because it's placed in contrast to the other one."
"Oxymoron","A phrase composed of opposites; a contradiction."
"Parable","A story that instructs."
"Paradox","A situation or statement that seems to contradict itself, but on closer inspection, does not."
"Parallelism","Repeated syntactical similarities used for effect."
"Paraphrase","To restate phrases and sentences in your own words."
"Parenthetical phrase","A phrase set off by commas that interrupts the flow of a sentence with some commentary or added detail."
"Parody","The work that results when a specific work is exaggerated to ridiculousness."
"Pastoral","A poem set in tranquil nature or even more specifically, one about shepherds."
"Persona","The narrator in a non first-person novel."
"Personification","When an inanimate object takes on human shape."
"Plaint","A poem or speech expressing sorrow."
"Point of View","The perspective from which the action of a novel is presented."
"Omniscient","A third person narrator who sees into each character's mind and understands all the action going on."
"Limited Omniscient","A Third person narrator who generally reports only what one character sees, and who only reports the thoughts of that one privileged character."
"Objective","A thrid person narrator who only reports on what would be visible to a camera. Does not know what the character is thinking unless the character speaks it."
"First person","A narrator who is a character in the story and tells the tale from his or her point of view."
"Stream of Consciousness","Author places the reader inside the main character's head and makes the reader privy to all of the character's thoughts as they scroll through her consciousness."
"Prelude","An introductory poem to a longer work of verse"
"Protagonist","The main character of a novel or play"
"Pun","The usually humorous use of a word in such a way to suggest two or more meanings"
"Refrain","A line or set of lines repeated several times over the course of a poem."
"Requiem","A song of prayer for the dead."
"Rhapsody","An intensely passionate verse or section of verse, usually of love or praise."
"Rhetorical question","A question that suggests an answer."
"Satire","Attempts to improve things by pointing out people's mistakes in the hope that once exposed, such behavior will become less common."
"Soliloquy","A speech spoken by a character alone on stage, meant to convey the impression that the audience is listening to the character's thoughts."
"Stanza","A group of lines roughly analogous in function in verse to the paragraphs function in prose."
"Stock characters","Standard or cliched character types."
"Subjunctive Mood","A grammatical situation involving the words "if" and "were," setting up a hypothetical situation."
"Suggest","To imply, infer, indicate."
"Summary","A simple retelling of what you've just read."
"Suspension of disbelief","The demand made of a theater audience to accept the limitations of staging and supply the details with their imagination."
"Symbolism","A device in literature where an object represents an idea."
"Technique","The methods and tools of the author."
"Theme","The main idea of the overall work; the central idea."
"Thesis","The main position of an argument. The central contention that will be supported."
"Tragic flaw","In a tragedy, this is the weakness of a character in an otherwise good (or even great) individual that ultimately leads to his demise."
"Travesty","A grotesque parody"
"Truism","A way-too obvious truth"
"Unreliable narrator","When the first person narrator is crazy, a liar, very young, or for some reason not entirely credible"
"Utopia","An idealized place. Imaginary communities in which people are able to live in happiness, prosperity, and peace."
"Zeugma","The use of a word to modify two or more words, but used for different meanings. He closed the door and his heart on his lost love."
"Ode","A poem in praise of something divine or noble"
"Iamb","A poetic foot -- light, heavy"
"Trochee","A poetic foot -- heavy, light"
"Spondee","A poetic foot -- heavy, heavy"
"Pyrrhie","A poetic foot -- light, light"
"Anapest","A poetic foot -- light, light, heavy"
"Ambibranch","A poetic foot -- light, heavy, light"
"Dactyl","A poetic foot -- heavy, light, light"
"Imperfect","A poetic foot -- single light or single heavy"
"Pentameter","A poetic line with five feet."
"Tetrameter","A poetic line with four feet"
"Trimeter","A poetic line with three feet"
"Blank Verse","unrhymed iambic pentameter."
