"absolute advantage","the ability to produce something more efficiently"
"money","anything that society generally accepts in payment for a good or service"
"money multiplier","1/reserve requirement, the multiple by which the money supply will change because of a change in bank reserves"
"open market operations","activities in which the FED buys and sells government securities in the secondary market"
"required reserves","the amount of any deposit that must be held aside and not used to make loans or buy investment"
"reserve requirement","the percentage of any deposit that must be held aside and not used to amke loans or buy investments"
"savings account","an account at a depository institution that earns interest while the funds are readily available but cannot be withdrawn with checks"
"secondary market","place where government securities that have already been issued may be bought or sold"
"transaction account","a checking account at a bank or a similar account at some other depository institution"
"money multiplier","1/ Reserve Requirement"
"change in money supply","Money Multiplier x Change in Bank Reserves"
"board of governors","executive board of the FED that makes major monetary policy decisions"
"demand management policy","monetary and fiscal policy"
"equation of exchange","M x V = P x Q; the money supply times its velocity equals the price level times output"
"federal open market committee (FOMC)","a committee within the FED that designs and executes the particular of monetary policy"
"monetarist","one who believes that changes in the money supply have a profound effect on the economy"
"monetary neutrality","policy in which a change in the money supply would result in a proportional change in prices while real variables, such as the unemployment rate, would be unaffected"
"monetary policy","changes in the money supply to fight recessions or inflations"
"money demand","the amount that households and firms want to hold in currency and deposits"
"velocity of money","describing the number of times the typical dollar of M1 or M2 is used to make purchases during a year"
"equation of exchange","M x V = P x Q"
"capital productivity","the amount of output per unit of plant and equipment"
"economic growth","growth of output usually measured by the percentage change in real GDP or real GDP per capita"
"human capital","the skill and knowledge embodied in the labor force"
"labor productivity","the amount of output per unit of labor"
"potential GDP","the amount that can be produced using resources fully and efficiently"
"productivity","output per unit of input"
"total productivity","the amount of all inputs"
"Rule of 70","years it takes a variable to double =70/the annual growth rate of the variable"
"appreciation","the increase of the value of a currency in terms of another currency"
"balance of payments","an accounting of the funds that flow in and out of a country comprised of the capital account and the current account"
"balance of trade","a nation's exports minus its imports"
"capital account","a portion of the balance of payments comprised of foreign purchases of US assets minus US purchases of foreign assets, plus the change in official reserves"
"closed economy","a hypothetical economy with no foreign trade"
"current account","a portion of the balance of payments comprised of the trade balance, net investment income, and net transfers"
"depreciation","the decrease of the value of a currency in terms of another currency"
"dumping","the practice or foreign producers selling a product in the domestic market for less than it cost to produce it"
"exchange rate","the value of one country's currency in terms of another's"
"gold standard","a unit of one currency that is equivalent to a stated amount of gold"
"import quota","a limit on the amount of a product that can be imported"
"import tariff","a tax on a specified import product"
"infant industries","those industries that are just getting started, perhaps requiring trade restrictions"
"intervention","situation in which a nation or group of nations uses their official reserves to supply or demand a currency in order to alter the exchange rate"
"managed float","an exchange rate regime where supply and demand determine exchange rates with occasional intervention when warranted"
"net investment income","amount US citizens earned as interest and dividends from abroad minus how much was paid to foreigners in interest and dividends"
"net transfers","money our government and citizens send as gifts or aid to foreigners minus how much foreigners send to us in gifts and aid"
"official reserves","government's holdings of foreign currencies"
"open economy","an economy with foreign trade"
"trade deficit","excess of a nation's imports over its exports"
"trade surplus","excess of a nation's exports of over its imports"
"balance of payments","current account +capital account"
